address,contact,description,image_url,price,title
"Surbiton,  Surrey,  KT6",020 8115 3761,"A spacious first floor two bedroom maisonette with south-facing garden and private off-road parking, located on a quiet residential road close to local shops and restaurants.",https://media.onthemarket.com/properties/9266192/1330903388/image-0-480x320.jpg,"£340,000 ",2 bedroom maisonette for sale
"High Street, London W3",020 8033 5476,"Guide Price 425,000-435,000. CONVERSION PROPERTY, in a WONDERFUL LOCATION, and with SUPERB TRANSPORT LINKS. There is potential for OUTSIDE SPACE (stpp). Featuring great sized DOUBLE BEDROOMS, a...",https://media.onthemarket.com/properties/9782497/1330903200/image-0-480x320.jpg,"£435,000 ",2 bedroom flat for sale
"Gresham Place, London E3",020 8033 5480,New to the market is this stunning one bedroom apartment set on the second floor of the recently built modern development offering spacious living accommodation (over 616 Sq feet) and large balcony...,https://media.onthemarket.com/properties/9296673/1330903197/image-0-480x320.jpg,"£415,000 ",1 bedroom flat for sale
"Altima Court, East Dulwich Road, London SE22",020 8033 5477,"A high spec rear facing two double bedroom modern new build apartment on the first floor of this luxurious block on the corner of Oakhurst Grove and East Dulwich Road, close to both East Dulwich st...",https://media.onthemarket.com/properties/9782494/1330902797/image-0-480x320.jpg,"£550,000 ",2 bedroom flat for sale
"Coburg Crescent, London SW2",020 8033 5477,"A beautifully renovated 4 bedroom house,only a short walk from Tulse Hill station. Set over 3 floors and 1150 sq feet, the property has been lovingly refurbished by it's current owners, who have us...",https://media.onthemarket.com/properties/9782493/1330902796/image-0-480x320.jpg,"£525,000 ",4 bedroom semi-detached house for sale
"Westland, Hornchurch, Essex, RM11",01621 467545,* NO ONWARD CHAIN * THREE BEDROOM SEMI DETACHED BUNGALOW * EXTENDED *30' OPEN PLAN LOUNGE DINER*CONSERVATORY*UTILITY ROOM*ADDITIONAL W/C* FOUR PIECE BATHROOM SUITE * OFF STREET PARKING * SUMMERHOUSE * OVER 80' REAR GARDEN *WALKING DISTANCE TO LOCAL AMENITIES & SCHOOLS*WALKING DISTANCE TO...,https://media.onthemarket.com/properties/9782491/1330902666/image-0-480x320.jpg,"£500,000 ",3 bedroom bungalow for sale
"Ashford,  Surrey,  TW15",01932 379366,"This five bedroom semi-detached family home comes with off street parking, private rear garden, summer house, fitted kitchen and two bathrooms.",https://media.onthemarket.com/properties/9782485/1330902013/image-0-480x320.jpg,"£685,000 ",5 bedroom semi-detached house for sale
"Colville Gardens, W11",020 8022 6947,A light and spacious one bedroom flat with large open plan reception/kitchen area. Benefitting from generous storage space and a versatile mezzanine area which can be used as a study or for guests. The flat is presented in excellent condition with modern kitchen and shower room. There are communal..,https://media.onthemarket.com/properties/9782465/1330901217/image-0-480x320.jpg,"£685,000 ",1 bedroom flat for sale
"DIPLOMA AVENUE, East Finchley, LONDON, N2 8NY",020 3641 6168,"Reed and co would like to offer this newly refurbished three bedroom and two bathroom ground floor apartment in a ideal location of East Finchley, newly fitted kitchen and bathrooms, minutes walk to East Finchley underground station and high road, off street parking, chain free.",https://media.onthemarket.com/properties/9782462/1330901149/image-0-480x320.jpg,"£499,950 ",3 bedroom apartment for sale
"Doghurst  Avenue, Harlington, Hayes, UB3 5BJ",020 8022 6539,"LARGE 4 BEDROOM DETACHED HOUSE / EXCELLENT LOCATION: This 4 Bedroom large property has excellent potential as well as being situated in a popular residential location convenient for Hayes & Harlington mainline station to Paddington (Crossrail due 2021), bus routes to London Heathrow Airport and...",https://media.onthemarket.com/properties/9782446/1330900800/image-0-480x320.jpg,"£675,000 ",4 bedroom detached house for sale
"Doghurst  Avenue, Harlington, Hayes, UB3 5BJ",020 8022 6539,"2 BEDROOMS / DETACHED BUNGALOW: A rare opportunity to acquire a 2 bedroom detached bungalow in a very convenient location near bus routes to Heathrow Airport, Hayes Towns facilities and Hayes and Harlington mainline station to Paddington (Crossrail due 2020). This property is also within easy...",https://media.onthemarket.com/properties/9782445/1330900799/image-0-480x320.jpg,"£475,000 ",2 bedroom bungalow for sale
"The Crescent, Hayes, UB3 5NB",020 8022 6539,"2 BEDROOMS / FIRST FLOOR MASIONETTE: A real opportunity to acquire a much larger than average 2 bedroom maisonette with tremendous potential and situated within walking distance of Harlington village centre with its shopping facilities, William Byrd school and bus routes to the Bath Road and...",https://media.onthemarket.com/properties/9782444/1330900794/image-0-480x320.jpg,"£269,950 ",2 bedroom flat for sale
"Ravenslea Road, London, SW12",020 8022 6807,"A super one-bedroom, first-floor Victorian period conversion flat which is located in the popular Nightingale Triangle area of Balham.",https://media.onthemarket.com/properties/9218887/1329951533/image-0-480x320.jpg,"£385,000 ",1 bedroom apartment for sale
"Blenheim Crescent, W11",020 8022 6947,"This spacious, one bedroom, second floor flat is located in the heart of Notting Hill on a lovely residential street, just off Ladbroke Grove. An open plan kitchen living area with feature fireplace is great for entertaining and offers lots of light and charm, the property is currently tenanted...",https://media.onthemarket.com/properties/9782404/1330899033/image-0-480x320.jpg,"£825,000 ",1 bedroom flat for sale
"Grand Central Apartments, Kings Cross, NW1",020 8022 7133,"A new iconic residential development for King’s Cross, Grand Central Apartments is a standout tower designed by award-winning architects Stiff + Trevillion and consisting of 68, One, Two & Three bedroom apartments and stunning Penthouses. Situated in a quiet Parkside enclave with two acres of...",https://media.onthemarket.com/properties/9782384/1330898054/image-0-480x320.jpg,"£870,000 ",1 bedroom apartment for sale
"Newnham Avenue, Eastcote",020 8022 6637,"Presented in immaculate condition throughout is this extended three bedroom semi detached family home set in the highly sought after Newnham Avenue which offers easy access to Eastcote high street. Features include no upper chain, off street parking, garage, large rear garden, modern interiors,...",https://media.onthemarket.com/properties/9654816/1328573560/image-0-480x320.jpg,"£720,000 ",3 bedroom semi-detached house for sale
"Old Fold View, Barnet",020 8033 4117,"An extended Four bedroom detached family residence with 90'rear garden and own drive to attached garage situated in this sought-after residential turning on the borders of High Barnet and Arkley. Accommodation is arranged over two floors comprising a reception room, dining room, fitted kitchen,...",https://media.onthemarket.com/properties/9439827/1329948222/image-0-480x320.jpg,"£995,000 ",4 bedroom detached house for sale
"King's Road Park, King's Road, SW6",020 8022 7133,"VIRTUAL VIEWINGS NOW AVAILABLE    King's Road Park is a new sustainable residential development located just off the King’s Road, SW6. Residents will benefit from a plethora of nearby famous landmarks including Sloane Square, Chelsea Harbour and Parsons Green and Chelsea Football Club, there’s...",https://media.onthemarket.com/properties/9782355/1330897371/image-0-480x320.jpg,"£2,530,000 ",3 bedroom apartment for sale
"The Whitgift, Croydon, CR0",020 8033 7485,"HELP TO BUY AVAILABLE - Superb range of three bedroom apartments individually designed to the highest standards of contemporary taste. Admiral Court is perfectly placed for living, leisure and work. Positioned just outside of the hustle and bustle of the centre, but still within easy reach of all...",https://media.onthemarket.com/properties/9782341/1330896898/image-0-480x320.jpg,"£500,000 ",3 bedroom apartment for sale
"The Harris, Croydon, CR0",020 8033 7485,"HELP TO BUY AVAILABLE - Superb range of one bedroom apartments individually designed to the highest standards of contemporary taste. Admiral Court is perfectly placed for living, leisure and work. Positioned just outside of the hustle and bustle of the centre, but still within easy reach of all...",https://media.onthemarket.com/properties/9782340/1330896897/image-0-480x320.jpg,"£305,000 ",1 bedroom apartment for sale
"The Cedars, Croydon, CR0",020 8033 7485,"Available with HELP TO BUY - Superb range of two bedroom apartments individually designed to the highest standards of contemporary taste. Admiral Court is perfectly placed for living, leisure and work. Positioned just outside of the hustle and bustle of the centre, but still within easy reach of...",https://media.onthemarket.com/properties/9782339/1330896896/image-0-480x320.jpg,"£410,000 ",2 bedroom apartment for sale
"Bentinck House, Monck Street, Westminster, London, SW1P",020 8033 4066,"A beautifully presented and extremely spacious 2 double bedroom apartment for sale of approx. 1107sq.ft (102.8sq.m) located in this small modern residential development in the heart of Westminster. The living space further comprises of a large reception room with access to a small balcony, a...",,"£1,250,000 ",2 bedroom flat for sale
"Ledbury Road, W11",020 8022 6947,A fabulous two bedroom flat located on the first floor of this lovely period building.  Both bedrooms are spacious doubles with direct access to a private balcony. There is a sleek and modern bathroom and a bright open plan kitchen/reception room which has an abundance of light.     Ledbury Road...,https://media.onthemarket.com/properties/9782334/1330896754/image-0-480x320.jpg,"£850,000 ",2 bedroom flat for sale
"Fairmead Crescent, Edgware",020 8022 6575,"Taylor Hawkins are pleased to offer for sale this three bedroom mid-terraced property which is situated on the Broadfields Estate; within minute of Glengall Road and its many amenities, local schools and places of worship.This family home is offered in good decorative condition throughout and...",https://media.onthemarket.com/properties/9782312/1330896421/image-0-480x320.jpg,"£500,000 ",3 bedroom terraced house for sale
"Audley Road, Hendon, London NW4 3EX",020 3641 3374,"Spacious four bedroom semi detached house located between Hendon Central, Hendon Thames Link and Brent Cross Shopping Centre. Features include lounge, dining room, kitchen/breakfast room, guest shower room/wc, family bathroom/wc, patio garden. EPC rating D. Sole Agents.",https://media.onthemarket.com/properties/9782296/1330896185/image-0-480x320.jpg,"£785,000 ",4 bedroom semi-detached house for sale
"Howard Close, New Southgate",020 8022 6617,This well proportioned CHAIN FREE three bedroom house has so much potential and will make a fantastic family home.  The property benefits from integral garage with own drive and off street parking plus a sunny rear garden.  Situated in a quiet location within the catchment for the popular...,https://media.onthemarket.com/properties/9782285/1330896017/image-0-480x320.jpg,"£550,000 ",3 bedroom terraced house for sale
"Palmerston Road, Bowes Park, London, N22",020 8115 1364,"TWO BEDROOM UPPER (SECOND) FLOOR PURPOSE BUILT APARTMENT SET AMONGST ATTRACTIVE COMMUNAL GARDENS. The bright and spacious accommodation comprises: door opening to entrance lobby, stairs leading to upper floor levels, own front door leading to entrance hallway, ample storage cupboards, large...",https://media.onthemarket.com/properties/9415037/1330896011/image-0-480x320.jpg,"£355,000 ",2 bedroom apartment for sale
"Andhurst Court, 2A Coombe Lane Westreet, Kingston upon Thames, Surrey, KT2",020 3544 5979,"Century 21 Kingston are delighted to offer to the market this ideally located, 2bedroom flat just minutes from Norbiton station with off-street parking and private Balcony. Surrounded by shops and amenities",https://media.onthemarket.com/properties/9782274/1330895977/image-0-480x320.jpg,"£415,000 ",2 bedroom flat for sale
"David House, Station Road, Sidcup, DA15 7DD",020 8022 7086,"* GUIDE PRICE £300,000-£325,000 * TWO DOUBLE BEDROOM ground floor flat position in a superb location with SIDCUP HIGH STREET and MAINLINE STATION within  0.4 MILES!  The property benefits from a GARAGE, visitor parking and very low annual service charge costs.",https://media.onthemarket.com/properties/9782263/1330895517/image-0-480x320.jpg,"£300,000 ",2 bedroom flat for sale
"Gibbs Green, Edgware",020 8022 6546,THREE BEDROOM SEMI - DETACHED HOUSE WITH GARAGE & OWN DRIVEEXCLUSIVE TO JOSEPH SCOTT ESTATE AGENTSTHREE BEDROOM SEMI-DETACHED HOUSEPLANNING PERMISSION GRANTED FOR EXTENSIONS - SIDE - REAR - LOFT AND SUMMER HOUSETWO RECEPTION ROOMS KITCHENLARGE REAR GARDENTHREE BEDROOMSFAMILY...,https://media.onthemarket.com/properties/9782250/1330895155/image-0-480x320.jpg,"£675,000 ",3 bedroom semi-detached house for sale
"Deans Lane, Edgware",020 8022 6546,THREE / FOUR BEDROOM EXTENDED SEMI-DETACHED HOUSE ON DEANS LANE!EXCLUSIVE TO JOSEPH SCOTT ESTATE AGENTS THREE / FOUR BEDROOMSTHROUGH LOUNGEENTRANCE HALLDOWNSTAIRS W/CKITCHEN / DINER EXTENDED TO THE REARDRIVEWAY WITH OFF STREET PARKING FOR 2 CARSGARAGE VIA SHARED...,https://media.onthemarket.com/properties/9782249/1330895154/image-0-480x320.jpg,"£665,000 ",3 bedroom semi-detached house for sale
"London Road, Brentwood",01621 467922,"A prominent hillside residence in a prime non estate location, with a stunning and largely extended six-bedroom interior. South facing gardens and elevated views.",https://media.onthemarket.com/properties/9538984/1326664936/image-0-480x320.jpg,"£1,250,000 ",6 bedroom detached house for sale
"Eversholt Street, Camden, London, NW1",020 8033 2988,Buy in time to take advantage of the stamp duty holiday!.Great opportunity to acquire this excellent two double bedroom apartment set on the second floor of a centrally located building moments from both Euston and King's Cross stations. The accommodation comprises a bright and spacious reception...,https://media.onthemarket.com/properties/9782233/1330894962/image-0-480x320.jpg,"£525,000 ",2 bedroom flat for sale
"Hillfield Avenue, Crouch End N8",020 8033 5535,Two Bedroom | Ground Floor | Period Building | Private Garden | Off Street Parking | Communal Garden | Leasehold with 113 Years Remaining | Underfloor Heating | 0.1 Miles to Rokesly Infant & Nursery School | 0.3 Miles to Hornsey Station,https://media.onthemarket.com/properties/9782223/1330894590/image-0-480x320.jpg,"£575,000 ",2 bedroom apartment for sale
"King's Road Park, King's Road, SW6",020 8022 7133,"VIRTUAL VIEWINGS NOW AVAILABLE    King's Road Park is a new sustainable residential development located just off the King’s Road, SW6. Residents will benefit from a plethora of nearby famous landmarks including Sloane Square, Chelsea Harbour and Parsons Green and Chelsea Football Club, there’s...",https://media.onthemarket.com/properties/9782218/1330894493/image-0-480x320.jpg,"£1,290,000 ",2 bedroom apartment for sale
"Albert House, Victoria Road, South Woodford",020 8022 6604,"*VIEWING DAY SATURDAY 9TH JANUARY BY APPOINTMENT ONLY*A unique and beautifully presented two double bedroom ground floor apartment located in the heart of sought after South Woodford, with a gated driveway and communal gardens.",https://media.onthemarket.com/properties/9782206/1330894215/image-0-480x320.jpg,"£385,000 ",2 bedroom apartment for sale
"Wadley Road, Leytonstone",020 8022 6604,Petty Son & Prestwich are pleased to offer for sale this four double bedroom Victorian family home positioned in a prime Upper Leytonstone location with a South/East facing garden.,https://media.onthemarket.com/properties/9782205/1330894214/image-0-480x320.jpg,"£750,000 ",4 bedroom terraced house for sale
"Calvert Drive, Bexley Park",01322 584760,"Park Estates are delighted to offer for sale this stunning and unique two double bedroom luxury apartment forming part of the grade two listed Baldwyns Mansion set within a gated development. This superb home comprises of a spacious entrance hall, luxury fitted kitchen with integral appliances...",https://media.onthemarket.com/properties/9218394/1330894053/image-0-480x320.jpg,"£389,950 ",2 bedroom apartment for sale
"Wilmot Road, Dartford",020 8022 6859,"Chattertons are delighted to be able to offer this new build semi detached house with two bedrooms, master with en suite plus family bathroom, lounge and spacious kitchen diner.The property is situated in an established road and benefits from larger than average rear garden for new property.",https://media.onthemarket.com/properties/9782184/1330893679/image-0-480x320.jpg,"£365,000 ",2 bedroom semi-detached house for sale
"Lillie Square, London, SW6",020 3641 5507,"An exceptional opportunity to acquire a new and ready foroccupancy, duplex garden apartment within Lillie Square, Capitaland Counties award-winning development: part of the Earls Court exhibition regeneration. (contd...)",https://media.onthemarket.com/properties/9782170/1330893270/image-0-480x320.jpg,"£1,600,000 ",3 bedroom apartment for sale
"Ladbroke Grove, London, W10",020 8022 6985,A great first time buy and/or buy-to-let flat providing three double bedrooms set on the second floor of this purpose built building in North Kensington. (contd...),https://media.onthemarket.com/properties/9782162/1330893173/image-0-480x320.jpg,"£475,000 ",3 bedroom flat for sale
"Pulborough Road, Southfields, SW18",01392 976682,"A fantastic five bedroom, two bathroom Edwardian home in the highly sought-after Pulborough Triangle, in close proximity to the outstanding Sheringdale and St. Michael's Primary Schools. Sold with no onward chain.",https://media.onthemarket.com/properties/9782160/1330893127/image-0-480x320.jpg,"£1,050,000 ",5 bedroom terraced house for sale
"Womersley Road, London, N8",020 8022 7116,"Winkworth are delighted to bring to market this immaculately presented newly-refurbished (December 2020) ground floor two double bedroom, two bathroom garden flat.",https://media.onthemarket.com/properties/9782140/1330892652/image-0-480x320.jpg,"£775,000 ",2 bedroom flat for sale
"Bellenden Road, Peckham Rye, London, SE15",020 8022 7080,"A stunning, charming, characterful one bedroom ground floor garden flat on Peckham Ryes most sought after road.",https://media.onthemarket.com/properties/9161640/1330892588/image-0-480x320.jpg,"£475,000 ",1 bedroom flat for sale
"Pear Close, Kingsbury, NW9",020 8115 0971,"This stunning 4 bedroom, one  bathroom detached property is now on market for the first time in 40 years. This very pretty home boasts original features including beautiful parquet flooring and panelled doors. (contd...)",https://media.onthemarket.com/properties/9524633/1330334865/image-0-480x320.jpg,"£795,000 ",4 bedroom detached house for sale
"Felsham Road, West Putney",020 8022 6554,"PLEASE LOOK FOR THE 3D VIRTUAL TOUR TAB VIEWINGS STILL GOING AHEAD, PLEASE CALL OR EMAIL Introducing this incredibly light and airy three bedroom maisonette situated in the heart of West Putney WITH SOUTH FACING GARDEN AND ROOF TERRACE Located on a quiet tree lined road yet still within close...",,"£825,000 ",3 bedroom flat for sale
"Tudor Gardens, Kingsbury, London, NW9",020 8115 0971,This stunning 4 bedroom family home is spread over 3 floors boasting over 2045 sq ft of living space making it an ideal buy for a growing family. (contd...),https://media.onthemarket.com/properties/9782135/1330967237/image-0-480x320.jpg,"£995,000 ",4 bedroom detached house for sale
"Horn Lane, W3",020 8033 9078,"A spacious, fully refurbished and well appointed large, two bedroom garden apartment. Benefitting from a beautifully presented west-facing private garden with direct access from the reception.  Very close to Acton Main Line station, on the forthcoming Elizabeth line.This apartment benefits from a...",https://media.onthemarket.com/properties/9483373/1330892290/image-0-480x320.jpg,"£517,500 ",2 bedroom apartment for sale
"Waterloo Gardens, Milner Square, London, N1",020 8022 7236,"A large studio apartment situated in the very desirable location of Milner Square, Barnsbury.  The property is situated within easy reach of Upper Street, Angel and Highbury & Islington stations and offers a newly refurbished studio room semi open plan with kitchen and bathroom. (contd...)",https://media.onthemarket.com/properties/9782132/1330892216/image-0-480x320.jpg,"£400,000 ",Studio for sale
"Kenilworth Road, W5",020 8033 9071,"Spanning the entire top floor of this grand period residence, just a short walk from Ealing Broadway, is this large two double bedroom period conversion apartment.",https://media.onthemarket.com/properties/9578193/1330892100/image-0-480x320.jpg,"£559,950 ",2 bedroom apartment for sale
"York Mansions, Prince of Wales Drive, London, SW11",020 8022 7406,A three bedroom apartment in York Mansions which benefits from a lift.,https://media.onthemarket.com/properties/9230157/1324981406/image-0-480x320.jpg,"£1,400,000 ",3 bedroom character property for sale
"Marc Brunel House, 136 Wapping High Street, London, E1W",020 8022 7306,"Bright and airy South facing two bedroom apartment with full river views in the modern Marc Brunel House complex, next to Wapping station.",https://media.onthemarket.com/properties/9782107/1330891166/image-0-480x320.jpg,"£1,100,000 ",2 bedroom flat for sale
Malyons Road SE13,020 8022 6771,"Located on a no-through street a short walk from Ladywell station is this fantastic, 2-bedroom top floor maisonette with direct access to its own garden.",https://media.onthemarket.com/properties/8893109/1330890961/image-0-480x320.jpg,"£410,000 ",2 bedroom flat for sale
"Mortimer Road, Kensal Green NW10",020 8115 1668,* SOLE AGENTS / VIRTUAL TOUR *mile... are delighted to present to the market this three bed Victorian house requiring modernisation,https://media.onthemarket.com/properties/9210142/1330890887/image-0-480x320.jpg,"£975,000 ",3 bedroom terraced house for sale
"King's Road Park, King's Road, SW6",020 8022 7133,"VIRTUAL VIEWINGS NOW AVAILABLE    King's Road Park is a new sustainable residential development located just off the King’s Road, SW6. Residents will benefit from a plethora of nearby famous landmarks including Sloane Square, Chelsea Harbour and Parsons Green and Chelsea Football Club, there’s...",https://media.onthemarket.com/properties/9782084/1330890734/image-0-480x320.jpg,"£855,000 ",1 bedroom apartment for sale
"King's Road Park, King's Road, SW6",020 8022 7133,"VIRTUAL VIEWINGS NOW AVAILABLE    King's Road Park is a new sustainable residential development located just off the King’s Road, SW6. Residents will benefit from a plethora of nearby famous landmarks including Sloane Square, Chelsea Harbour and Parsons Green and Chelsea Football Club, there’s...",https://media.onthemarket.com/properties/9782083/1330890695/image-0-480x320.jpg,"£765,000 ",1 bedroom apartment for sale
"Fairwater House, 3 Bonnet Street, Royal Wharf, London, E16",020 8033 4421,"*GUIDE PRICE £550,000 - £575,000 *A VACANT TWO DOUBLE bedroom TWO bathroom property offering 840 Sq Ft of CONTEMPORARY living space. Set on the 4TH FLOOR with LIFT ACCESS. Comprising an OPEN-PLAN living/dining area, fully-fitted kitchen with high-end INTEGRATED appliances, sizeable bedrooms with...",https://media.onthemarket.com/properties/9590110/1329785003/image-0-480x320.jpg,"£550,000 ",2 bedroom apartment for sale
"Television Centre, 101 Wood Lane, London, W12",020 8022 6246,This iconic apartment is situated on the 7th floor of Television Centre and boasts views across West London.,https://media.onthemarket.com/properties/9782080/1330890446/image-0-480x320.jpg,"£2,995,000 ",2 bedroom flat for sale
"Lower Road, Harrow, HA2 0DA",020 8115 3184,"This rarely available three bedroom End Of Terrace Victorian cottage combines character and location and is offered chain free. There is potential for loft conversion to maximise on space. With high ceilings, spacious rooms, off street parking to the front and idyllic views to the rear the...",https://media.onthemarket.com/properties/9023622/1312067889/image-0-480x320.jpg,"£475,000 ",3 bedroom end of terrace house for sale
"Cowley Road, London, SW9",020 8033 4924,"Set within the popular Cowley Estate and bordering the Oval Quarter development, is this bright and well presented apartment situated on an upper floor and enjoying views to the rear over Eythorne Park.The apartment comprises of two double bedrooms, separate wc and bathroom, kitchen with range of...",https://media.onthemarket.com/properties/9782058/1330889764/image-0-480x320.jpg,"£385,000 ",2 bedroom apartment for sale
"Farm Lane, Fulham, London, SW6",020 8115 1601,"UK Sotheby’s International Realty is proud to present this modern and well-designed ground floor apartment overlooking a private courtyard. The apartment comprises an open plan living and kitchen room, perfect for entertaining guests or relaxing with family. (contd...)",https://media.onthemarket.com/properties/9782005/1330889541/image-0-480x320.jpg,"£1,195,000 ",2 bedroom apartment for sale
"Westgate House, Ealing, W5",020 8033 5239,"Stamp Duty Savings - March 2021 Completion  | 2 Bedroom | Contract Assignment | First floor | 629 sq. Ft* | Private Terrace  | Parking Space Included Worth £25,000  | 24-hour concierge service | residential gym | spa | communal terrace lounge with adjoining screening room | close to Hanger Lane...",https://media.onthemarket.com/properties/9781973/1330888276/image-0-480x320.jpg,"£550,000 ",2 bedroom penthouse for sale
"Kennington, SE11",020 8115 2381,Close to Vauxhall Bridge and the Kennington Oval a fantastic first and second floor warehouse duplex with double height ceiling and huge reception space.,https://media.onthemarket.com/properties/9781963/1330887703/image-0-480x320.jpg,"£895,000 ",2 bedroom flat for sale
"FLORA PATH, London, E9",020 8033 5549,This stunning new development of two and three-bedroom apartments is set in a quiet mews with outside space. This boutique development of just eight apartments is a short walk from Victoria Park and Hackney Marshes.These high specification apartments will be registered with Help to Buy and...,https://media.onthemarket.com/properties/9781926/1330886328/image-0-480x320.jpg,"£575,000 ",2 bedroom flat for sale
"St. Georges Buildings, 37 St. Georges Road, London, SE1",020 8033 7447,"A smart, characterful one-bedroom apartment on St Georges Road. Close to Southwark, Borough and Elephant and Castle Station, St Georges Building boasts a stunning communal roof terrace and private, off-street parking. The building benefits from lift access. Stretching to 443 square feet,...",https://media.onthemarket.com/properties/9015822/1330886187/image-0-480x320.jpg,"£325,000 ",1 bedroom flat for sale
"Clarence Lane, London, SW15",020 8033 7473,"An opportunity to purchase a large three bedroomed maisonette directly opposite Roehampton University in need of modernisation.The flat offers two generous double sized bedrooms, a third bedroom which could also house a double bed and a full bathroom on the upper level of the maisonette.The lower...",https://media.onthemarket.com/properties/8328813/1330886136/image-0-480x320.jpg,"£350,000 ",3 bedroom maisonette for sale
"Kenilworth Road, London, W5",020 8033 7446,"An outstanding opportunity to purchase this well presented two bedroom top floor apartment located on a desirable road moments away from the Ealing Broadway. The property offers a spacious open-plan kitchen/reception room with dining area, two good sized double bedrooms, family bathroom and an...",https://media.onthemarket.com/properties/9388190/1322621294/image-0-480x320.jpg,"£559,950 ",2 bedroom apartment for sale
"Sydenham Road, Croydon, CR0",020 8033 7449,"A charming two double bedroom DETACHED house for sale situated within close proximity to East Croydon Station, Box Park, with its array of restaurants, and Central Croydon. The well-presented accommodation comprises reception room, lovely kitchen/diner opening on to a terrace for al fresco...",https://media.onthemarket.com/properties/8952250/1313060233/image-0-480x320.jpg,"£325,000 ",2 bedroom detached house for sale
"Denton Street, Wandsworth, London",020 8022 6223,A spacious 2 bedroom garden flat full of great charm and character situated within a purpose built Victorian house well located on this extremely quiet residential street in the heart of Wandsworth.Leasehold,https://media.onthemarket.com/properties/9781910/1330885469/image-0-480x320.jpg,"£485,000 ",2 bedroom flat for sale
"Pembroke Road, Ruislip, HA4",01895 754857,"Located in the heart of Ruislip Manor, this two bedroom flat is perfect for those looking to  invest or first time buyers that desire easy access into the City. Ruislip Manor is an area of Ruislip in the London Borough of Hillingdon. Predominantly rural land until construction of the metropolitan...",,"£310,000 ",2 bedroom duplex for sale
"Cadogan Square, Knightsbridge",020 8022 7180,"An exceptional two bedroom, two bathroom flat occupying the top floor (with lift) of this grand, red brick building on Cadogan Square in Knightsbridge.Leasehold",https://media.onthemarket.com/properties/9670608/1327562009/image-0-480x320.jpg,"£1,980,000 ",2 bedroom flat for sale
"Gillespie Road, Highbury",020 8022 7245,"A bright and beautifully presented, 3 bedroom Victorian freehold, backing on to the Gillespie Road nature reserve, offering serene and peaceful green views whilst being ideally situated only moments from Arsenal Underground.Freehold",https://media.onthemarket.com/properties/9483030/1322620203/image-0-480x320.jpg,"£950,000 ",3 bedroom terraced house for sale
"Lavender Sweep, Battersea, London",020 8022 7034,"A fantastic opportunity to purchase this spacious 2 bedroom period property located on the 1st floor on a quiet residential road.  The flat comprises a good sized reception room, separate eat-in kitchen, 2 double bedrooms and bathroom.Leasehold",https://media.onthemarket.com/properties/2676267/1330885173/image-0-480x320.jpg,"£750,000 ",2 bedroom flat for sale
"Sherbrooke Road, Fulham, London",020 8022 7309,Video tour available. A fantastic Well designed 4 bedroom house with underfloor heating in the extended kitchen and air conditioning on the ground floor and 2 of the bedrooms. The property is in very good decorative order throughout.Freehold,https://media.onthemarket.com/properties/9109970/1330885055/image-0-480x320.jpg,"£1,335,000 ",4 bedroom terraced house for sale
"Wardo Avenue, Fulham, London",020 8022 7309,A lovely ground floor 2 bedroom purpose built garden flat with potential to extend subject to planning into the side. The property has a separate kitchen and reception room along with a large private garden and plenty of storage throughout.Share of Freehold,https://media.onthemarket.com/properties/9781897/1330885053/image-0-480x320.jpg,"£750,000 ",2 bedroom maisonette for sale
"Evelyn Terrace, Richmond, Surrey",020 8022 7054,Rarely available period home enviably positioned on the highly coveted Evelyn Terrace in Richmond. Potential to extend (STPP). EPC Rating D.Freehold,https://media.onthemarket.com/properties/9781892/1330884943/image-0-480x320.jpg,"£925,000 ",2 bedroom terraced house for sale
"LA REVE, 19 High Street, Wealdstone, Harrow, HA3",020 8033 9919,"*40% Help to Buy Available l *Incentives AvailableAn exclusive collection of stunning apartments boasting ultra-contemporary and urban living, situated in the bustling and vibrant community town of Harrow & Wealdstone, one of London’s top commuter destinations serving London Overground and London...",https://media.onthemarket.com/properties/9781876/1330883594/image-0-480x320.jpg,"£365,000 ",1 bedroom apartment for sale
"Ashburnham Mansions, Chelsea",020 8022 6044,"Well presented 3 bedroom property in Ashburnham Mansions, Chelsea, SW10. Located on the Ground floor with 3 double bedrooms, 2 bathrooms, reception room with bay window & separate kitchen. The apartment has direct access to the communal gardens and the block has a porter and off street parking...",https://media.onthemarket.com/properties/9781869/1330883504/image-0-480x320.jpg,"£1,100,000 ",3 bedroom apartment for sale
"Green Wrythe Lane, Carshalton",020 8115 2380,"A well presented split level maisonette located within walking distance of local amenities, Carshalton/Hackbridge train stations, bus routes and reputable schooling. Perfect for first time buyers and investors. The property features include 112 year lease, double glazing, neutrally decorated...",https://media.onthemarket.com/properties/9781863/1330883302/image-0-480x320.jpg,"£225,000 ",2 bedroom maisonette for sale
"Onslow Road, Croydon",020 8115 0422,"*GUIDE PRICE £395,000-£400,000* WELCOME HOME! Don't miss this 3 BEDROOM HOUSE in a popular residential area close to the Ampere Way tram stop.  Entrance porch, hall, dual-aspect reception room, modern fitted kitchen, bathroom/wc, gas heating, good-sized garden, possible parking - MUST Be seen -...",https://media.onthemarket.com/properties/8438080/1318453701/image-0-480x320.jpg,"£380,000 ",3 bedroom semi-detached house for sale
